"giver","receiver","yearmonth","direct.cont","indirect.cont","hr.diff.m"
"D1086","D1042","Apr 2021",0,0,1143.5942494983
"D1086","D1074","Apr 2021",0,0,1231.94209706634
"D1086","D1076","Apr 2021",0,0,1474.8633104086
"D1086","D1077","Apr 2021",0,0,1267.04451582649
"D1086","D1078","Apr 2021",0,0,1529.63823436713
"D1086","D1079","Apr 2021",0,2,1547.01712221154
"D1086","D1080","Apr 2021",0,0,1168.52899148344
"D1086","D1081","Apr 2021",0,1,998.570287985905
"D1086","D1082","Apr 2021",0,1,1044.3929291594
"D1086","D1084","Apr 2021",0,614,703.061529986545
"D1086","D1085","Apr 2021",0,309,347.883807088048
"D1086","D1087","Apr 2021",0,1709,215.23566159783
"D1086","D1088","Apr 2021",7,2222,356.797870260695
"D1087","D1021","Apr 2021",0,11,1067.6287273799
"D1087","D1035","Apr 2021",0,105,758.461972172991
"D1087","D1041","Apr 2021",0,0,2457.82817488625
"D1087","D1042","Apr 2021",0,0,1319.38027501047
"D1087","D1074","Apr 2021",0,0,1184.96216308775
"D1087","D1076","Apr 2021",0,0,1481.29759513046
"D1087","D1077","Apr 2021",0,0,1437.86862820634
"D1087","D1078","Apr 2021",0,0,1716.13043620313
"D1087","D1079","Apr 2021",0,2,1752.58949546457
"D1087","D1080","Apr 2021",0,0,1343.59833907719
"D1087","D1081","Apr 2021",0,11,862.770062591017
"D1087","D1082","Apr 2021",0,0,972.144982349746
"D1087","D1084","Apr 2021",0,37,766.825163222965
"D1087","D1085","Apr 2021",0,231,184.990529447104
"D1087","D1086","Apr 2021",0,1976,215.23566159783
"D1087","D1088","Apr 2021",0,446,481.478471539569
"D1088","D1021","Apr 2021",0,26,803.845425377898
"D1088","D1035","Apr 2021",0,1083,356.355311241082
"D1088","D1041","Apr 2021",0,0,2211.5202057682
"D1088","D1042","Apr 2021",0,0,851.347758623783
"D1088","D1074","Apr 2021",0,0,984.718721903442
"D1088","D1076","Apr 2021",0,2,1160.42213276257
"D1088","D1077","Apr 2021",0,0,964.345673535044
"D1088","D1078","Apr 2021",0,0,1257.82803059813
"D1088","D1079","Apr 2021",0,4,1342.21573301811
"D1088","D1080","Apr 2021",0,2,874.572686752308
"D1088","D1081","Apr 2021",0,13,915.781441273711
"D1088","D1082","Apr 2021",0,10,845.585150836526
"D1088","D1084","Apr 2021",0,1164,365.048228805352
"D1088","D1085","Apr 2021",1,179,476.160117499112
"D1088","D1086","Apr 2021",7,1689,356.797870260695
"D1088","D1087","Apr 2021",0,266,481.478471539569
"D1091","D1092","Apr 2022",0,0,2786.34395958965
"D1091","D1093","Apr 2022",0,43,726.188352226741
"D1091","D1094","Apr 2022",0,0,995.394266598904
"D1091","D1095","Apr 2022",0,6,930.844923141707
